1,1,Quelle est le temps de cette phrase : « Nous allons au parc » ?,présent
2,2,Combien fait 9+9 ?,18
3,2,Combien fait 3x8 ?,24
4,3,En quelle année les femmes ont-elles eu le droit de vote en France ?,1944
5,3,En quelle année le mur de Berlin est-il détruit ?,1989
6,3,En quelle année l'euro est-elle devenue la monnaie unique de l'Europe ?,2002
7,3,Où le maréchal Pétain établit-il l'Etat français pendant l'occupation allemande ?,vichy
8,3,Dans quelle ville Jeanne d'Arc a-t-elle péri sur le bûcher ?,rouen
9,2,Combien fait 2x9 ?,18
10,2,Vrai ou faux : 98 x 3 = 294,vrai
11,2,Combien fait 42-12 ?,30
12,2,Combien fait 35-25 ?,10
13,2,Combien fait 86-10 ?,76
14,2,Vrai ou faux : 100.000 - 9.999 = 90.000,faux
15,2,Combien fait 12+3 ?,15
16,2,Combien fait 19+5 ?,24
17,1,Trouve le verbe dans cette phrase : "Nous sommes en retard" ?,être
18,1,Comment appelle-t-on un habitant de la France ?,français
19,1,Quel verbe est à l'infinitif ? : mangez - buvons - finis - marcher - joue,marcher
20,1,Quel est l'infinitif de ce verbe : Nous partons,partir
21,1,Singulier ou pluriel ? : des couteaux,pluriel
22,2,Combien fait 3+3 ?,6
23,2,Combien fait 6+6 ?,12
